Sku id,Invoice No.,วันที่,เวลา,รหัสสินค้า,Serial,ชื่อสินค้า,กลุ่มสินค้า,จำนวน,Ratio,ราคา/หน่วย,รวมก่อนลด,ส่วนลด,รวมสุทธิ,ต้นทุนรวม,กำไร,ลูกค้า,พนักงาน,status,หมายเลขประจำเครื่อง
c027,PS001000906,12/2/17,18:41,8.85048E+12,,me-o เพาซ์ #ทูน่า 80g อาหารแมวมีโอ,Pet,4,1,15,60,0,60,45,15,,Admin,A,1
1711111025 AMNcoBNSXPlg9KCCmKR88K,PS001000907,12/2/17,18:47,8.88883E+12,,Gillette ยิลเลตต์ Blue II Plus น้ำเงิน มีดโกน,Personal Care,1,1,23,23,0,23,14.7,8.3,,Admin,A,1
k026,PS001000908,12/2/17,18:53,8.85011E+12,,กาวลาเท็กซ์ TOA 4oz No.LA-22S,Stationery,1,1,14,14,0,14,8.75,5.25,,Admin,A,1
171110209 PMX4sLAdlXvzsgMnhT909J,PS001000909,12/2/17,18:54,8.88755E+12,,พานาโซนิค AA ถ่าน เขียว,Hardware,1,1,24,24,0,24,18,6,,Admin,A,1
171112745 PM0XuxVbI8VfrnO7oUiTu9,PS001000909,12/2/17,18:54,PLU3070973427,,ไข่ไก่ เบอร์ 1 x30,Food,1,30,95,95,0,95,90,5,,Admin,A,1
k090,PS001000910,12/2/17,19:00,h190,,กระดาษ A4 แพ็คเล็ก,Stationery,1,1,5,5,0,5,3,2,,Admin,A,1
u128,PS001000911,12/3/17,8:45,8.85009E+12,,ไฮยีน-ปรับ ม่วง Violet Soft 600ml,Cleaners,3,1,18,54,0,54,42,12,,Admin,A,1
171107716 PMVkD7czWbtYVvVH8AGL1d,PS001000911,12/3/17,8:45,8.88883E+12,,แปรงสีฟัน ออรัล-บี#คลาสสิก อัลตร้าคลีน,Personal Care,1,1,20,20,0,20,14,6,,Admin,A,1
c053,PS001000911,12/3/17,8:45,8.85513E+12,,Kat-To ทรายแมว เลมอน 10L แคทโตะ,Pet,1,1,160,160,0,160,110.67,49.33,,Admin,A,1
1711071112 AMShu8TJ4wHYY4bxaLOavY,PS001000911,12/3/17,8:45,8.85193E+12,,โอโม 900g,Cleaners,1,1,55,55,0,55,46,9,,Admin,A,1
171110353 PMgiOItU7qxa7HB81jjPaq,PS001000911,12/3/17,8:45,TKS15,,ที่หนีบผ้า กิ๊บ สแตนเลส TK 8pc,Personal Care,1,1,15,15,0,15,7.1,7.9,,Admin,A,1
1711071026 AMUovhcaGiEB2vfpF9cxLb,PS001000911,12/3/17,8:45,8.85193E+12,,คอมฟอร์ท-ปรับ ม่วง หอมผ่อนคลาย 580ml,Cleaners,1,1,18,18,0,18,13.3,4.7,,Admin,A,1
1711241853kQeIXmqoEeNDi5RXe7VU,PS001000912,12/3/17,9:13,8.85193E+12,,ซันไลต์-เลมอน#ถุง 550ml ประหยัดสุดคุ้ม,Cleaners,2,1,29,58,0,58,50.16,7.84,,Admin,A,1
u002,PS001000912,12/3/17,9:13,8.85001E+12,,คอลเกต-ยอดนิยม 170g,Personal Care,1,1,50,50,0,50,40,10,,Admin,A,1
1711211919sutTlhbDaJaSb5Xx3mql,PS001000912,12/3/17,9:13,8.85046E+12,,วังขนาย-น้ำตาลไม่ฟอก ดีเมอเรร่า 1kg,Food,1,1,25,25,0,25,23,2,,Admin,A,1
1712021504I4Bh4OUvX6qHkIP9K1t9,PS001000912,12/3/17,9:13,8.85076E+12,,พาเลซ ครีมเทียมข้นหวาน 380g,Food,6,1,20,120,0,120,105,15,,Admin,A,1
171107209 PMo6CpMnpUZUV6PZMPNL0D,PS001000912,12/3/17,9:13,8.85001E+12,,สบู่แคร์#คลาสสิค 70g,Personal Care,1,4,55,55,0,55,46.41,8.59,,Admin,A,1
1712011118n7uFjcNKZb1eMj3QEwcY,PS001000913,12/3/17,9:21,8.85021E+12,,เด็ก-ซีอิ้ว ซอสเหยาะจิ้ม 150ml,Food,1,1,17,17,0,17,0,17,,Admin,A,1
171107653 PMzlZKiti7qifjoLMOgm6C,PS001000914,12/3/17,9:27,8.85193E+12,,คอมฟอร์ท น้ำเดียว 22ml,Cleaners,2,1,4,8,0,8,6.2,1.8,,Admin,A,1
1711071130 AMOQnPzwfoXcw1ha5PJh33,PS001000914,12/3/17,9:27,8.85193E+12,,โอโม พลัส Paris 100g,Cleaners,1,1,10,10,0,10,8,2,,Admin,A,1
171110657 PMf0IbqmyIPrEkDvgSSmBt,PS001000915,12/3/17,9:28,C017,,ม็อบถูพื้น แบน No.10 มีด้าม World Smile,Cleaning Tools,1,1,120,120,0,120,84.4,35.6,,Admin,A,1
